work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
1.0,3,2,17,0.00809583360758244,21,0.31210191082802546,84,0.0,74,0
1.0,3,2,17,0.004015006911077469,21,0.15414012738853503,84,0.0,74,0
1.0,3,2,120,0.005759231224906207,21,0.221656050955414,84,0.0,74,1
1.0,3,2,120,0.004324359902586717,21,0.16611464968152864,84,0.0,74,1
1.0,3,2,54,0.006123543737247416,21,0.2357579617834395,12,0.0,11,1
1.0,3,2,54,0.0030846442440597643,21,0.11812738853503185,12,0.0,11,1
1.0,3,2,57,0.004607384979924965,21,0.1770700636942675,84,0.0,74,1
1.0,3,2,57,0.002928980451523728,21,0.11210191082802548,84,0.0,74,1
1.0,1,2,108,0.006878167577173698,21,0.26496815286624203,84,0.0,74,1
1.0,1,2,108,0.006285789508326202,21,0.24203821656050956,84,0.0,74,1
1.0,3,2,46,0.006417429079181201,21,0.24713375796178344,84,0.0,74,1
1.0,3,2,46,0.0034884486276574736,21,0.1337579617834395,84,0.0,74,1
1.0,2,2,120,0.006121240044757454,21,0.2356687898089172,12,0.0,11,1
1.0,2,2,120,0.004804844336207464,21,0.18471337579617833,12,0.0,11,1
1.0,2,2,90,0.003159349700519976,21,0.12101910828025478,84,1.0,74,1
1.0,2,2,90,0.002501151846244981,21,0.09554140127388534,84,1.0,74,1
1.0,3,2,90,0.007832554465872442,21,0.3019108280254777,84,0.0,74,1
1.0,3,2,90,0.005068123477917462,21,0.1949044585987261,84,0.0,74,1
1.0,2,2,17,0.006851839663002698,21,0.2639490445859872,84,0.0,74,0
1.0,2,2,17,0.004015006911077469,21,0.15414012738853503,84,0.0,74,0
1.0,3,2,51,0.007766734680444941,21,0.29936305732484075,84,1.0,74,1
1.0,3,2,90,0.012209570196801158,21,0.47133757961783435,84,1.0,74,1
1.0,3,2,90,0.0038175475547949714,21,0.1464968152866242,84,1.0,74,1
1.0,2,2,90,0.004475745409069966,21,0.17197452229299362,84,0.0,74,1
1.0,2,2,90,0.0037352728230105967,21,0.14331210191082802,84,0.0,74,1
1.0,0,2,30,0.004216942012769038,21,0.16195668789808917,84,0.0,74,1
1.0,0,2,30,0.003606792601856118,21,0.1383388535031847,84,0.0,74,1
1.0,2,2,90,0.008925162903968933,21,0.34420382165605096,84,1.0,74,1
1.0,2,2,90,0.005087869413545712,21,0.1956687898089172,84,1.0,74,1
1.0,3,2,90,0.006894622523530573,21,0.26560509554140127,84,0.0,74,1
1.0,3,2,90,0.0031297307970776012,21,0.11987261146496814,84,0.0,74,1
1.0,0,2,46,0.0016619495820443622,21,0.06305732484076433,84,0.0,74,1
1.0,0,2,46,0.001069571513196867,21,0.04012738853503184,84,0.0,74,1
1.0,3,2,57,0.005479497136839334,21,0.210828025477707,84,0.0,74,1
1.0,3,2,57,0.0027051931810702294,21,0.10343949044585987,84,0.0,74,1
1.0,2,2,46,0.0024004475745409066,21,0.09164331210191083,84,0.0,74,1
1.0,2,2,46,0.0017113144211149869,21,0.06496815286624204,84,0.0,74,1
1.0,2,2,46,0.0020825380109260844,21,0.0793375796178344,84,0.0,74,1
1.0,2,2,46,0.001448035279404989,21,0.05477707006369427,84,0.0,74,1
1.0,3,2,92,0.0009023234384255907,7,0.046843312101910825,31,0.0,27,1
1.0,3,2,92,0.0007971763312051603,7,0.041755414012738856,31,0.0,27,1
1.0,3,2,66,0.0050023036924899626,21,0.19235668789808916,84,0.0,74,1
1.0,3,2,66,0.0029618903442374775,21,0.11337579617834395,84,0.0,74,1
1.0,0,2,46,0.002731521095241229,21,0.10445859872611464,84,0.0,74,1
1.0,0,2,46,0.001579674850259988,21,0.05987261146496815,84,0.0,74,1
1.0,2,2,127,0.005331402619627459,21,0.20509554140127387,84,0.0,74,1
1.0,2,2,127,0.0019318107022971102,21,0.07350318471337579,84,0.0,74,1
1.0,2,2,81,0.0006570789179227275,7,0.03497707006369427,87,0.0,76,1
1.0,2,2,81,0.0005725004936483906,7,0.030885350318471335,87,0.0,76,1
1.0,0,2,147,0.005150398209701836,21,0.19808917197452228,84,1.0,74,1
1.0,0,2,147,0.0035937602843414728,21,0.1378343949044586,84,1.0,74,1
1.0,3,2,120,0.00929375370236293,21,0.3584713375796178,84,0.0,74,1
1.0,3,2,120,0.004791680379121963,21,0.18420382165605095,84,0.0,74,1
1.0,3,2,17,0.0047456065293227144,21,0.18242038216560508,84,0.0,74,1
1.0,3,2,17,0.0021391430263937336,21,0.08152866242038216,84,0.0,74,1
1.0,3,2,90,0.004574475087211215,21,0.17579617834394903,63,0.0,57,1
1.0,3,2,90,0.00398209701836372,21,0.15286624203821655,63,0.0,57,1
1.0,2,2,90,0.0043111959455012176,21,0.16560509554140126,84,0.0,74,1
1.0,2,2,90,0.003652998091226222,21,0.14012738853503184,84,0.0,74,1
1.0,1,2,108,0.007108536826169946,21,0.27388535031847133,84,1.0,74,1
1.0,1,2,108,0.006121240044757454,21,0.2356687898089172,84,1.0,74,1
1.0,3,2,120,0.008688211676429934,21,0.33503184713375794,84,0.0,74,1
1.0,3,2,120,0.005989600473902455,21,0.2305732484076433,84,0.0,74,1
1.0,3,2,57,0.004146646481932468,21,0.1592356687898089,84,1.0,74,1
1.0,3,2,57,0.0028302507733824786,21,0.10828025477707007,84,1.0,74,1
1.0,2,2,90,0.0010202066741262423,21,0.03821656050955413,3,1.0,3,1
1.0,2,2,90,0.000526558283419996,21,0.01910828025477707,3,1.0,3,1
1.0,3,2,90,0.006713618113604949,21,0.2585987261146497,84,0.0,74,1
1.0,3,2,90,0.0043111959455012176,21,0.16560509554140126,84,0.0,74,1
1.0,3,2,46,0.0028302507733824786,21,0.10828025477707007,84,0.0,74,1
1.0,3,2,46,0.002376752451787007,21,0.09072611464968153,84,0.0,74,1
1.0,2,2,57,0.005792141117619956,21,0.22292993630573246,84,0.0,74,1
1.0,2,2,57,0.004475745409069966,21,0.17197452229299362,84,0.0,74,1
1.0,2,2,29,0.003159349700519976,21,0.12101910828025478,84,0.0,74,1
1.0,2,2,29,0.0026657013098137297,21,0.1019108280254777,84,0.0,74,1
1.0,3,2,81,0.003159349700519976,21,0.12101910828025478,84,0.0,74,1
1.0,3,2,81,0.002501151846244981,21,0.09554140127388534,84,0.0,74,1
1.0,2,2,57,0.004146646481932468,21,0.1592356687898089,84,0.0,74,1
1.0,2,2,57,0.003159349700519976,21,0.12101910828025478,84,0.0,74,1
1.0,2,2,46,0.0021720529191074835,21,0.08280254777070063,84,1.0,74,1
1.0,2,2,46,0.0011847561376949912,21,0.0445859872611465,84,1.0,74,1
1.0,3,2,46,0.005463042190482458,21,0.21019108280254775,84,1.0,74,1
1.0,3,2,46,0.0038175475547949714,21,0.1464968152866242,84,1.0,74,1
1.0,3,2,57,0.006121240044757454,21,0.2356687898089172,84,0.0,74,1
1.0,3,2,57,0.004377015730928717,21,0.1681528662420382,84,0.0,74,1
1.0,3,2,46,0.004409925623642467,21,0.16942675159235668,84,0.0,74,1
1.0,3,2,46,0.003652998091226222,21,0.14012738853503184,84,0.0,74,1
1.0,3,2,90,0.004475745409069966,21,0.17197452229299362,84,0.0,74,1
1.0,3,2,90,0.003159349700519976,21,0.12101910828025478,84,0.0,74,1
1.0,3,2,46,0.007615349173961693,21,0.2935031847133758,84,1.0,74,1
1.0,3,2,46,0.00400842493253472,21,0.15388535031847134,84,1.0,74,1
1.0,1,2,29,0.006121240044757454,21,0.2356687898089172,84,0.0,74,1
1.0,1,2,29,0.00529849272691371,21,0.2038216560509554,84,0.0,74,1
